Country,Type,City,State,URL,Link,Google,ir link 1,Name,Twitter,Facebook,Youtube,Instagram,Tiktok,Telegram,VK,Website
China,Consulategeneral,Chiangmai,Thailand,https://www.embassypages.com/china-consulategeneral-chiangmai-thailand,https://www.embassypages.com/china-consulategeneral-chiangmai-thailand,https://www.google.com/search?q=China+Consulategeneral+to+Thailand+in+Chiangmai%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://thailand.mid.ru/,China Consulategeneral to Thailand in Chiangmai,,,,,,,,http://chiangmai.china-consulate.gov.cn/
China,Consulategeneral,Chicago,Unitedstates,https://www.embassypages.com/china-consulategeneral-chicago-unitedstates,https://www.embassypages.com/china-consulategeneral-chicago-unitedstates,https://www.google.com/search?q=China+Consulategeneral+to+Unitedstates+in+Chicago%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://unitedstates.mid.ru/,China Consulategeneral to Unitedstates in Chicago,ChinaConsulate,,,,,,,http://chicago.china-consulate.gov.cn/
China,Consulategeneral,Chongjin,Koreademocraticrepublic,https://www.embassypages.com/china-consulategeneral-chongjin-koreademocraticrepublic,https://www.embassypages.com/china-consulategeneral-chongjin-koreademocraticrepublic,https://www.google.com/search?q=China+Consulategeneral+to+Koreademocraticrepublic+in+Chongjin%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://koreademocraticrepublic.mid.ru/,China Consulategeneral to Koreademocraticrepublic in Chongjin,,,,,,,,
China,Consulategeneral,Christchurch,Newzealand,https://www.embassypages.com/china-consulategeneral-christchurch-newzealand,https://www.embassypages.com/china-consulategeneral-christchurch-newzealand,https://www.google.com/search?q=China+Consulategeneral+to+Newzealand+in+Christchurch%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://newzealand.mid.ru/,China Consulategeneral to Newzealand in Christchurch,ChinaCG_CC,1.00067E+14,,,,,,http://christchurch.china-consulate.gov.cn/
China,Consulategeneral,Constanta,Romania,https://www.embassypages.com/china-consulategeneral-constanta-romania,https://www.embassypages.com/china-consulategeneral-constanta-romania,https://www.google.com/search?q=China+Consulategeneral+to+Romania+in+Constanta%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://romania.mid.ru/,China Consulategeneral to Romania in Constanta,,,,,,,,
China,Consulategeneral,Danang,Vietnam,https://www.embassypages.com/china-consulategeneral-danang-vietnam,https://www.embassypages.com/china-consulategeneral-danang-vietnam,https://www.google.com/search?q=China+Consulategeneral+to+Vietnam+in+Danang%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://vietnam.mid.ru/,China Consulategeneral to Vietnam in Danang,,,,,,,,http://danang.china-consulate.gov.cn/
China,Consulategeneral,Davaocity,Philippines,https://www.embassypages.com/china-consulategeneral-davaocity-philippines,https://www.embassypages.com/china-consulategeneral-davaocity-philippines,https://www.google.com/search?q=China+Consulategeneral+to+Philippines+in+Davaocity%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://philippines.mid.ru/,China Consulategeneral to Philippines in Davaocity,,,,,,,,
China,Consulategeneral,Denpasar,Indonesia,https://www.embassypages.com/china-consulategeneral-denpasar-indonesia,https://www.embassypages.com/china-consulategeneral-denpasar-indonesia,https://www.google.com/search?q=China+Consulategeneral+to+Indonesia+in+Denpasar%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://indonesia.mid.ru/,China Consulategeneral to Indonesia in Denpasar,,,,konjenchinabali,,,,http://denpasar.china-consulate.gov.cn/
China,Consulategeneral,Douala,Cameroon,https://www.embassypages.com/china-consulategeneral-douala-cameroon,https://www.embassypages.com/china-consulategeneral-douala-cameroon,https://www.google.com/search?q=China+Consulategeneral+to+Cameroon+in+Douala%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://cameroon.mid.ru/,China Consulategeneral to Cameroon in Douala,,ambchinecmr,,,,,,http://douala.china-consulate.gov.cn/
China,Consulategeneral,Dubai,Unitedarabemirates,https://www.embassypages.com/china-consulategeneral-dubai-unitedarabemirates,https://www.embassypages.com/china-consulategeneral-dubai-unitedarabemirates,https://www.google.com/search?q=China+Consulategeneral+to+Unitedarabemirates+in+Dubai%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://unitedarabemirates.mid.ru/,China Consulategeneral to Unitedarabemirates in Dubai,CGPRCinDubai,,,,,,,http://dubai.china-consulate.gov.cn/
China,Consulategeneral,Durban,Southafrica,https://www.embassypages.com/china-consulategeneral-durban-southafrica,https://www.embassypages.com/china-consulategeneral-durban-southafrica,https://www.google.com/search?q=China+Consulategeneral+to+Southafrica+in+Durban%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://southafrica.mid.ru/,China Consulategeneral to Southafrica in Durban,,,,,,,,http://durban.china-consulate.gov.cn/
China,Consulategeneral,Dusseldorf,Germany,https://www.embassypages.com/china-consulategeneral-dusseldorf-germany,https://www.embassypages.com/china-consulategeneral-dusseldorf-germany,https://www.google.com/search?q=China+Consulategeneral+to+Germany+in+Dusseldorf%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://germany.mid.ru/,China Consulategeneral to Germany in Dusseldorf,,,,,,,,http://dusseldorf.china-consulate.gov.cn/
China,Consulategeneral,Edinburgh,Unitedkingdom,https://www.embassypages.com/china-consulategeneral-edinburgh-unitedkingdom,https://www.embassypages.com/china-consulategeneral-edinburgh-unitedkingdom,https://www.google.com/search?q=China+Consulategeneral+to+Unitedkingdom+in+Edinburgh%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://unitedkingdom.mid.ru/,China Consulategeneral to Unitedkingdom in Edinburgh,chinacgedi,,,,,,,http://edinburgh.china-consulate.gov.cn/
China,Consulategeneral,Erbil,Iraq,https://www.embassypages.com/china-consulategeneral-erbil-iraq,https://www.embassypages.com/china-consulategeneral-erbil-iraq,https://www.google.com/search?q=China+Consulategeneral+to+Iraq+in+Erbil%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://iraq.mid.ru/,China Consulategeneral to Iraq in Erbil,,ChineseconsulateErbil,,,,,,
China,Consulategeneral,Florence,Italy,https://www.embassypages.com/china-consulategeneral-florence-italy,https://www.embassypages.com/china-consulategeneral-florence-italy,https://www.google.com/search?q=China+Consulategeneral+to+Italy+in+Florence%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://italy.mid.ru/,China Consulategeneral to Italy in Florence,,,,,,,,http://firenze.china-consulate.gov.cn/
China,Consulategeneral,Frankfurtammain,Germany,https://www.embassypages.com/china-consulategeneral-frankfurtammain-germany,https://www.embassypages.com/china-consulategeneral-frankfurtammain-germany,https://www.google.com/search?q=China+Consulategeneral+to+Germany+in+Frankfurtammain%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://germany.mid.ru/,China Consulategeneral to Germany in Frankfurtammain,ChinaCG_Ffm,,,,,,,http://frankfurt.china-consulate.gov.cn/
China,Consulategeneral,Fukuoka,Japan,https://www.embassypages.com/china-consulategeneral-fukuoka-japan,https://www.embassypages.com/china-consulategeneral-fukuoka-japan,https://www.google.com/search?q=China+Consulategeneral+to+Japan+in+Fukuoka%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://japan.mid.ru/,China Consulategeneral to Japan in Fukuoka,ChnConsulateFuk,,,,,,,http://fukuoka.china-consulate.gov.cn/
China,Consulategeneral,Gdansk,Poland,https://www.embassypages.com/china-consulategeneral-gdansk-poland,https://www.embassypages.com/china-consulategeneral-gdansk-poland,https://www.google.com/search?q=China+Consulategeneral+to+Poland+in+Gdansk%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://poland.mid.ru/,China Consulategeneral to Poland in Gdansk,,,,,,,,http://gdansk.china-consulate.gov.cn/
China,Consulategeneral,Gothenburg,Sweden,https://www.embassypages.com/china-consulategeneral-gothenburg-sweden,https://www.embassypages.com/china-consulategeneral-gothenburg-sweden,https://www.google.com/search?q=China+Consulategeneral+to+Sweden+in+Gothenburg%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://sweden.mid.ru/,China Consulategeneral to Sweden in Gothenburg,,,,,,,,http://gothenburg.china-consulate.gov.cn/
China,Consulategeneral,Guayaquil,Ecuador,https://www.embassypages.com/china-consulategeneral-guayaquil-ecuador,https://www.embassypages.com/china-consulategeneral-guayaquil-ecuador,https://www.google.com/search?q=China+Consulategeneral+to+Ecuador+in+Guayaquil%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://ecuador.mid.ru/,China Consulategeneral to Ecuador in Guayaquil,,,,,,,,http://ec.china-embassy.gov.cn/
China,Consulategeneral,Gwangju,Korearepublic,https://www.embassypages.com/china-consulategeneral-gwangju-korearepublic,https://www.embassypages.com/china-consulategeneral-gwangju-korearepublic,https://www.google.com/search?q=China+Consulategeneral+to+Korearepublic+in+Gwangju%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://korearepublic.mid.ru/,China Consulategeneral to Korearepublic in Gwangju,,,,,,,,http://gwangju.china-consulate.gov.cn/
China,Consulategeneral,Hamburg,Germany,https://www.embassypages.com/china-consulategeneral-hamburg-germany,https://www.embassypages.com/china-consulategeneral-hamburg-germany,https://www.google.com/search?q=China+Consulategeneral+to+Germany+in+Hamburg%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://germany.mid.ru/,China Consulategeneral to Germany in Hamburg,ChinaCG_HH,,,,,,,http://hamburg.china-consulate.gov.cn/chn/
China,Consulategeneral,Hochiminhcity,Vietnam,https://www.embassypages.com/china-consulategeneral-hochiminhcity-vietnam,https://www.embassypages.com/china-consulategeneral-hochiminhcity-vietnam,https://www.google.com/search?q=China+Consulategeneral+to+Vietnam+in+Hochiminhcity%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://vietnam.mid.ru/,China Consulategeneral to Vietnam in Hochiminhcity,,ChineseConsulateinHCM,,,,,,http://hochiminhcity.china-consulate.gov.cn/
China,Consulategeneral,Houston,Unitedstates,https://www.embassypages.com/china-consulategeneral-houston-unitedstates,https://www.embassypages.com/china-consulategeneral-houston-unitedstates,https://www.google.com/search?q=China+Consulategeneral+to+Unitedstates+in+Houston%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://unitedstates.mid.ru/,China Consulategeneral to Unitedstates in Houston,,,,,,,,
China,Consulategeneral,Iquique,Chile,https://www.embassypages.com/china-consulategeneral-iquique-chile,https://www.embassypages.com/china-consulategeneral-iquique-chile,https://www.google.com/search?q=China+Consulategeneral+to+Chile+in+Iquique%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://chile.mid.ru/,China Consulategeneral to Chile in Iquique,,,,,,,,http://iquique.china-consulate.gov.cn/
China,Consulategeneral,Irkutsk,Russia,https://www.embassypages.com/china-consulategeneral-irkutsk-russia,https://www.embassypages.com/china-consulategeneral-irkutsk-russia,https://www.google.com/search?q=China+Consulategeneral+to+Russia+in+Irkutsk%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://russia.mid.ru/,China Consulategeneral to Russia in Irkutsk,ChineseEmbinRus,,,,,,,http://irkutsk.china-consulate.gov.cn/
China,Consulategeneral,Istanbul,Turkey,https://www.embassypages.com/china-consulategeneral-istanbul-turkey,https://www.embassypages.com/china-consulategeneral-istanbul-turkey,https://www.google.com/search?q=China+Consulategeneral+to+Turkey+in+Istanbul%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://turkey.mid.ru/,China Consulategeneral to Turkey in Istanbul,,,,,,,,http://istanbul.china-consulate.gov.cn/
China,Consulategeneral,Izmir,Turkey,https://www.embassypages.com/china-consulategeneral-izmir-turkey,https://www.embassypages.com/china-consulategeneral-izmir-turkey,https://www.google.com/search?q=China+Consulategeneral+to+Turkey+in+Izmir%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://turkey.mid.ru/,China Consulategeneral to Turkey in Izmir,,,,,,,,
China,Consulategeneral,Jeddah,Saudiarabia,https://www.embassypages.com/china-consulategeneral-jeddah-saudiarabia,https://www.embassypages.com/china-consulategeneral-jeddah-saudiarabia,https://www.google.com/search?q=China+Consulategeneral+to+Saudiarabia+in+Jeddah%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://saudiarabia.mid.ru/,China Consulategeneral to Saudiarabia in Jeddah,CCGJeddah,,,,,,,http://jeddah.china-consulate.gov.cn/
China,Consulategeneral,Jeju,Korearepublic,https://www.embassypages.com/china-consulategeneral-jeju-korearepublic,https://www.embassypages.com/china-consulategeneral-jeju-korearepublic,https://www.google.com/search?q=China+Consulategeneral+to+Korearepublic+in+Jeju%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://korearepublic.mid.ru/,China Consulategeneral to Korearepublic in Jeju,,,,,,,,http://jeju.china-consulate.gov.cn/
China,Consulategeneral,Johannesburg,Southafrica,https://www.embassypages.com/china-consulategeneral-johannesburg-southafrica,https://www.embassypages.com/china-consulategeneral-johannesburg-southafrica,https://www.google.com/search?q=China+Consulategeneral+to+Southafrica+in+Johannesburg%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://southafrica.mid.ru/,China Consulategeneral to Southafrica in Johannesburg,ChnConsulateJhb,ChinainJoburg,UCfjVqH7BfjaNENSezNcgyAA,,,,,http://johannesburg.china-consulate.gov.cn/
China,Consulategeneral,Karachi,Pakistan,https://www.embassypages.com/china-consulategeneral-karachi-pakistan,https://www.embassypages.com/china-consulategeneral-karachi-pakistan,https://www.google.com/search?q=China+Consulategeneral+to+Pakistan+in+Karachi%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://pakistan.mid.ru/,China Consulategeneral to Pakistan in Karachi,,,,,,,,http://karachi.china-consulate.gov.cn/
China,Consulategeneral,Kazan,Russia,https://www.embassypages.com/china-consulategeneral-kazan-russia,https://www.embassypages.com/china-consulategeneral-kazan-russia,https://www.google.com/search?q=China+Consulategeneral+to+Russia+in+Kazan%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://russia.mid.ru/,China Consulategeneral to Russia in Kazan,,,,,,,,http://kazan.china-consulate.gov.cn/
China,Consulategeneral,Khabarovsk,Russia,https://www.embassypages.com/china-consulategeneral-khabarovsk-russia,https://www.embassypages.com/china-consulategeneral-khabarovsk-russia,https://www.google.com/search?q=China+Consulategeneral+to+Russia+in+Khabarovsk%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://russia.mid.ru/,China Consulategeneral to Russia in Khabarovsk,,,,,,,,http://khabarovsk.china-consulate.gov.cn/
China,Consulategeneral,Khonkaen,Thailand,https://www.embassypages.com/china-consulategeneral-khonkaen-thailand,https://www.embassypages.com/china-consulategeneral-khonkaen-thailand,https://www.google.com/search?q=China+Consulategeneral+to+Thailand+in+Khonkaen%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://thailand.mid.ru/,China Consulategeneral to Thailand in Khonkaen,,,,,,,,http://khonkaen.china-consulate.gov.cn/
China,Consulategeneral,Kolkata,India,https://www.embassypages.com/china-consulategeneral-kolkata-india,https://www.embassypages.com/china-consulategeneral-kolkata-india,https://www.google.com/search?q=China+Consulategeneral+to+India+in+Kolkata%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://india.mid.ru/,China Consulategeneral to India in Kolkata,,,,,,,,http://kolkata.china-consulate.gov.cn/
